window_size,accuracy_mean,accuracy_std,f1_mean,f1_std,complexity_mflops
24,76.07181310653687,0.9183573890688109,0.7574855117485187,0.009216617440675026,2.21391
28,78.46827507019043,0.7592322989170355,0.7817716595702283,0.0075026388826960775,2.582742
32,80.63297033309937,1.0658112820796737,0.8031066750359097,0.009803393896287706,2.951574
36,82.19423413276672,0.5410513458941173,0.819752784312579,0.005320569754515245,3.320406
40,83.6135745048523,0.7519538491761851,0.8337016953523173,0.007359497393112622,3.689238
44,84.30508255958557,0.7677247826011289,0.8404729436003974,0.008340698574334126,4.05807
48,85.58765053749084,0.47350968161893114,0.8540118830049325,0.004857960409525282,4.426902
52,86.05081796646118,0.7421290744949387,0.8584578570100442,0.007729550132874376,4.795734
56,86.46285891532898,1.563266437332491,0.8629604208353747,0.015053966959773577,5.164566
60,87.99261808395386,0.800414195475532,0.8780907838385866,0.008155929581173813,5.533398
64,88.26172709465027,0.7121852531973631,0.8810041785973795,0.0068620702579456445,5.90223
68,88.74042510986328,1.1313426129991844,0.8858404867244657,0.01088663050386354,6.271062
72,89.21955704689026,0.7817028923074341,0.890606249375782,0.008135029069172935,6.639894
76,90.02701759338379,0.4431456079491523,0.8991117121558299,0.00395283968030766,7.008726
80,90.1324462890625,0.6364691721043291,0.8999168287816646,0.0066086589412178865,7.377558
84,90.14669299125671,0.6507507692058155,0.900182675077669,0.006374879120184231,7.74639
88,90.96625447273254,0.3316894629072407,0.9085199800174134,0.003318834478765033,8.115222
92,90.51944017410278,0.40518975951452324,0.9038790504543798,0.004345493111929584,8.484054
96,91.04719042778015,0.9057027375669522,0.9091690383064911,0.008945931751524139,8.852886
100,91.15880608558655,0.6135059027429716,0.9106975868623589,0.00614799949407804,9.221718
