window_size,accuracy_mean,accuracy_std,f1_mean,f1_std,complexity_mflops
60,55.91384142637252,4.3599870186778045,0.5466214254520877,0.04013389958651727,5.533398
70,56.628798842430115,4.791491542737174,0.5582233338841776,0.05192137090738833,6.455478
80,57.31881380081176,5.4140859102618855,0.5633627742622497,0.052918373593494245,7.377558
90,55.858949422836304,4.651618370907797,0.5535724439731491,0.048976741368589566,8.299638
100,57.15078592300416,3.58262182243331,0.5646144582198078,0.03957949695557142,9.221718
110,57.102368474006646,3.823523160048619,0.5655676610961567,0.03734093355783739,10.143798
120,56.16252660751343,3.5357604487696093,0.558771717446365,0.032836585529624686,11.065878
130,56.19235277175903,3.6717088194026193,0.5550639324569577,0.037652133628609065,11.987958
140,56.44327074289321,4.759338702395096,0.558280017561484,0.0464425001563309,12.910038
150,55.366088151931756,4.516813200709851,0.5502004917833668,0.04324637787553223,13.832118
160,53.43738317489623,4.9806815037908185,0.530253086751882,0.04971351889539713,14.754198
170,53.53415846824646,4.595494641756541,0.5316313902733976,0.04282035700603778,15.676278
180,55.241159796714776,3.465381728557061,0.5492003890848992,0.036317679407456074,16.598358
190,55.685239136219025,3.8812884671872827,0.5513875407143056,0.038659877418579215,17.520438
200,55.35629272460938,4.513564535323393,0.5465699470764991,0.04380165266223924,18.442518
210,55.239296555519104,2.7002024930763437,0.5441038805300066,0.029816459466801615,19.364598
220,55.02538174390793,4.3783445023298215,0.5466230109528262,0.041264815108483885,20.286678
230,54.51623529195786,4.711346115123156,0.5425558338882035,0.04465576521118417,21.208758
240,55.95866501331329,3.577110739362055,0.5545051807656941,0.03234437125744823,22.130838
250,56.460678279399865,4.25230186338845,0.545129574443317,0.050403798410756984,23.052918
