window_size,accuracy_mean,accuracy_std,f1_mean,f1_std,complexity_mflops
60,69.39137935638428,2.1733572610489422,0.6874948646969774,0.02144977303984761,0.989878
70,68.74455451965332,2.2109151588251654,0.6681972268208616,0.03256539151992103,1.155628
80,70.97113013267517,3.1854916562364997,0.69471183403951,0.02911917214136557,1.319458
90,71.39107465744019,1.8926784477649856,0.7111068059877532,0.018481075705386103,1.485208
100,72.74112343788147,0.8964861390432026,0.7238191457804926,0.019214904759986315,1.649038
110,72.63655185699463,1.8124998187110237,0.7305667075907725,0.02995411541362745,1.814788
120,74.09310579299927,1.1793292534083404,0.7255962419966592,0.016206374009531684,1.978618
130,75.09379744529724,2.716908262674827,0.7413701277272212,0.022125744727448424,2.144368
140,75.0926923751831,2.4422395998193913,0.7438540904077637,0.03186594737205835,2.308198
150,74.98632311820984,2.7228915275525973,0.7376604058622882,0.031230483837978322,2.473948
160,75.3003180027008,3.2760435485355703,0.7433301425562687,0.03447446001311252,2.637778
170,77.19215393066406,3.7195235925467536,0.7568180123710085,0.04175631440664452,2.803528
180,76.16839408874512,2.2447868890815976,0.7466921167886178,0.029206701818128244,2.967358
190,75.01270890235901,2.1680430268621356,0.736054213243958,0.03305246535683872,3.133108
200,75.32739281654358,2.3726566020401507,0.7381409419528998,0.014166830574819843,3.296938
210,75.82974672317505,2.636605410533485,0.7407762599603196,0.015204136515328029,3.462688
220,75.14386773109436,1.516155123075563,0.732483381881361,0.03849923246708172,3.626518
230,78.08234930038452,1.1489639028797012,0.7622804686983023,0.0057997620102858485,3.792268
240,75.79322338104248,3.6615235220418354,0.7488070170715556,0.04204427950042491,3.956098
250,76.74031376838684,2.7527739689622797,0.7499646649993602,0.04816881455397279,4.121848
