window_size,accuracy_mean,accuracy_std,f1_mean,f1_std,complexity_mflops
24,81.47239208221436,0.5558322967554742,0.8131355233481108,0.005527423527370714,0.417646
28,84.63199019432068,0.3451429038703455,0.84520979366544,0.003798817673569312,0.487054
32,86.66796445846558,0.4022189652819911,0.865940930792075,0.003657106611160347,0.556462
36,88.63155841827393,0.24409608632879093,0.8860332326842355,0.0025871243818487676,0.62587
40,90.17698526382446,0.3999187197718409,0.901378717629106,0.003990334808989125,0.695278
44,91.49487257003784,0.33655301799695087,0.9143053239324095,0.0035939196933099864,0.764686
48,92.5361168384552,0.24543231459896023,0.9251629294475899,0.002401748521052332,0.834094
52,93.3857774734497,0.23323213632779152,0.9335957103710385,0.002174263010019991,0.903502
56,94.17678594589233,0.21284681510597,0.9416048778908138,0.0018693582061302973,0.97291
60,94.74719524383545,0.25538364295175037,0.9471616920004411,0.002525901370686613,1.042318
64,95.3589415550232,0.31773515527628826,0.9533107292486308,0.0033869109899809374,1.111726
68,96.00971460342407,0.3178887871902364,0.9600494603552667,0.0030796095607554057,1.181134
72,96.48053288459778,0.23284820029250644,0.9647117558330891,0.002153859155507651,1.250542
76,96.67954087257385,0.26644531868195376,0.9668041764721351,0.002766985718800719,1.31995
80,97.06074595451355,0.3104382394648408,0.9703524775235266,0.0030732998098583772,1.389358
84,97.33761668205261,0.29486161926549337,0.9733019990147296,0.002903112279756816,1.458766
88,97.59486675262451,0.2201813153799968,0.9758435195174322,0.0020634683364864174,1.528174
92,97.86686062812805,0.18693106362608145,0.9785912647251409,0.0016842634942303887,1.597582
96,98.0562686920166,0.1532359015956677,0.9807368759206746,0.0014472213012184578,1.66699
100,98.21658372879028,0.10399670275440204,0.9822006809943785,0.0011379949894120183,1.736398
