window_size,accuracy_mean,accuracy_std,f1_mean,f1_std,complexity_mflops
24,71.60295963287354,0.7166475794632049,0.7110365836517196,0.006896925626292589,0.396634
28,74.1770851612091,0.6086007705584525,0.7374717180133371,0.0056583940503461974,0.46255
32,76.54754638671875,0.23065127889476278,0.7617020760140514,0.0021664472147991274,0.528466
36,78.62256407737732,0.4425631887885669,0.7832084758771194,0.004697006144086738,0.594382
40,80.43166518211365,0.42277296769955236,0.8024298282328972,0.0036709989462821377,0.660298
44,81.95788264274597,0.4093228227230238,0.8173886364788773,0.003428888344783318,0.726214
48,83.11035633087158,0.38057584716359716,0.8290724734576278,0.0039658237699799846,0.79213
52,84.50369119644165,0.22147823006508613,0.8432708348553728,0.0023388423396397185,0.858046
56,85.46138763427734,0.22886609416648712,0.8533041241817589,0.002474223428067166,0.923962
60,86.33736491203308,0.2797035843579026,0.8620531064266697,0.0026935782687346056,0.989878
64,87.07255125045776,0.507333027609777,0.8696424090415495,0.005060365326481347,1.055794
68,87.91985392570496,0.4944132063887131,0.877662967480909,0.005446517018650691,1.12171
72,88.38015794754028,0.43974797798424536,0.8829840392478634,0.003671779174932419,1.187626
76,89.13016676902771,0.446088434030706,0.8903237748800997,0.004566475035374043,1.253542
80,89.74662899971008,0.30069469870712695,0.8966656068906402,0.0029687774483937676,1.319458
84,90.02330541610718,0.5424537829514673,0.8996874429862938,0.005739750733969649,1.385374
88,90.51551580429077,0.24550545442509347,0.9048591478047845,0.0025805142604234783,1.45129
92,91.10544323921204,0.24648130363147855,0.9108129170603197,0.002501572176408146,1.517206
96,91.44757986068726,0.4221894015649782,0.9146554278079764,0.004134038821055791,1.583122
100,91.84585213661194,0.1562990662017819,0.9183313363955226,0.0014418599164144254,1.649038
