window_size,accuracy_mean,accuracy_std,f1_mean,f1_std,complexity_mflops
24,86.46112442016602,0.5328406176957449,0.8635413612402741,0.0056704833681890335,2.990838
28,88.97620916366577,0.2545581042931139,0.888814095171958,0.0026102739852637055,3.489062
32,90.56836128234863,0.38881391662290665,0.9050734655191853,0.0038605316824835353,3.987286
36,91.78148627281189,0.45833567208929543,0.9173137889594315,0.004454039548876079,4.48551
40,92.86754369735718,0.5592100187492471,0.9280799962165844,0.005748512702816941,4.983734
44,93.62914204597473,0.5366733565136625,0.9357874808309795,0.005504122067769399,5.481958
48,94.30246114730835,0.3372719111683073,0.9426305403232462,0.003361864878593091,5.980182
52,95.00925064086914,0.22108536795743308,0.949749483072187,0.0022669659322625785,6.478406
56,95.45523881912231,0.4265403565458644,0.9541978266938079,0.004309008839643839,6.97663
60,95.7890522480011,0.4957491910935163,0.9575912883437881,0.0050332637089362505,7.474854
64,96.28055214881897,0.23223103451145435,0.9625586011711679,0.00233583035648926,7.973078
68,96.6749632358551,0.3846104684091635,0.9664972416400568,0.003854396974109283,8.471302
72,96.9085943698883,0.27616081147398075,0.9688346198182144,0.002829499738645083,8.969526
76,97.12715148925781,0.36162710072804705,0.9710643542481179,0.0036165023720943915,9.46775
80,97.13598608970642,0.5134556221951923,0.9711123697729709,0.005229239054141023,9.965974
84,97.40910768508911,0.2747203883710764,0.9738864671430687,0.0027673424780771715,10.464198
88,97.6610517501831,0.35806719323801434,0.9764251052502779,0.003652877886744497,10.962422
92,97.81287908554077,0.2257917427667453,0.9779506935725933,0.0022709165897863122,11.460646
96,97.96456933021545,0.331129150773315,0.9794657744656193,0.0033530395072328416,11.95887
100,98.01908731460571,0.4761851646237751,0.9800222583207336,0.004816036615683135,12.457094
