window_size,accuracy_mean,accuracy_std,f1_mean,f1_std,complexity_mflops
60,57.814756631851196,4.477087347699805,0.21967773656876316,0.11485300878335565,5.626674
70,57.610676288604736,3.066286148710669,0.24791069196556642,0.08057390020151997,6.564204
80,61.184196472167976,4.859773606376536,0.258588780261021,0.07097204066323426,7.501734
90,59.45159554481506,4.4223282452985835,0.26663989840795227,0.08780353648336128,8.439264
100,59.503401517868035,5.750935679721705,0.3142057884846533,0.11855412555477941,9.376794
110,58.48456501960755,3.435819554303185,0.31103469914621534,0.032968026646371516,10.314324
120,57.76347637176513,4.586711594864908,0.26182694996875033,0.06287931268352676,11.251854
130,58.28048229217529,2.605479538393492,0.2800231333162113,0.1056729958177967,12.189384
140,55.61852514743805,4.685633179183275,0.25084781371299997,0.04806523493349755,13.126914
150,59.26687717437744,4.289889672987326,0.28903910942515443,0.08254244615456975,14.064444
160,56.26275599002838,5.016596029288166,0.24934902318332158,0.08348960841888405,15.001974
170,58.31509590148926,2.791065910665132,0.22330243207790978,0.041982028144365656,15.939504
180,56.87655448913574,2.456639829208224,0.24811050852143723,0.08229676997546438,16.877034
190,58.212531805038445,5.49170354960477,0.23321441237186785,0.07094393114519933,17.814564
200,55.82130432128907,6.313753678198634,0.3512370852395067,0.06889757699536399,18.752094
210,55.876289010047905,6.116452725060238,0.243019057938743,0.08683754725654919,19.689624
220,57.010308504104614,6.921435076922649,0.22474034578976182,0.1173307829588389,20.627154
230,57.6288640499115,3.864262129832786,0.2571557423853043,0.061901482966986075,21.564684
240,58.65979313850402,7.099569143180105,0.3182093840689868,0.11811638689974972,22.502214
250,58.65979313850402,7.657719425891964,0.2703208354099285,0.12372367107211606,23.439744
