window_size,accuracy_mean,accuracy_std,f1_mean,f1_std,complexity_mflops
24,84.00943875312805,0.7007929454068379,0.8389262959478062,0.0072043577438139095,2.940822
28,86.3120424747467,0.4427811402865183,0.8619949223408312,0.004105950237632869,3.430806
32,88.54730248451233,0.4506100622619285,0.8848486650826315,0.004604430887162528,3.92079
36,89.84825611114502,0.13866045768419216,0.897819680078055,0.0013233115721565938,4.410774
40,91.00704312324524,0.6073291296191574,0.9096662913428221,0.00586276055156357,4.900758
44,91.66841626167297,0.5301555714101402,0.9162182675010511,0.0048973073306720506,5.390742
48,92.64204859733582,0.3047244091937772,0.92604241064227,0.0028499247758499674,5.880726
52,93.49746227264404,0.3133071713435422,0.9345303486086781,0.0032053941545572154,6.37071
56,93.97885998090109,0.6992249375822939,0.9395894249769903,0.006812206287856973,6.860694
60,94.6566390991211,0.23261214012769738,0.9462258165445784,0.002346761148767399,7.350678
64,94.84135508537292,0.7121862188320095,0.948246102421549,0.006850079607787013,7.840662
68,95.28421640396118,0.21900837336690174,0.9525116522277848,0.0021345557450112153,8.330646
72,95.52080273628235,0.2830454953271217,0.954963956116857,0.002785897369440404,8.82063
76,95.92455863952637,0.22549011369591915,0.9591167746130328,0.0021060460690044596,9.310614
80,96.16411209106445,0.4232508185686929,0.9614105880523376,0.004234153749698798,9.800598
84,96.16377472877502,0.4885284684645831,0.9614584983351456,0.004759154553136517,10.290582
88,96.41567707061768,0.46139783623932884,0.9639241547211463,0.004651525890974653,10.780566
92,96.38213753700256,0.10653693178443512,0.9636555188448218,0.0009897964386577844,11.27055
96,97.01066851615906,0.2465935233313203,0.9699004163818536,0.002448994153564561,11.760534
100,96.70657873153687,0.34114517395504046,0.9668239020017966,0.0033937847987176037,12.250518
